"filename", "language", "Go", "Go Checksum File", "Protocol Buffers", "Go Template File", "Go Module File", "comment", "blank", "total"
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/client.go", "Go", 176, 0, 0, 0, 0, 0, 25, 201
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/connectionmonitors.go", "Go", 610, 0, 0, 0, 0, 0, 74, 684
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/ddoscustompolicies.go", "Go", 313, 0, 0, 0, 0, 0, 39, 352
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/ddosprotectionplans.go", "Go", 523, 0, 0, 0, 0, 0, 61, 584
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/defaultsecurityrules.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/enums.go", "Go", 1742, 0, 0, 0, 0, 0, 335, 2077
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecircuitauthorizations.go", "Go", 355, 0, 0, 0, 0, 0, 42, 397
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecircuitconnections.go", "Go", 362, 0, 0, 0, 0, 0, 42, 404
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecircuitpeerings.go", "Go", 364, 0, 0, 0, 0, 0, 43, 407
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecircuits.go", "Go", 883, 0, 0, 0, 0, 0, 103, 986
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressrouteconnections.go", "Go", 319, 0, 0, 0, 0, 0, 41, 360
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecrossconnectionpeerings.go", "Go", 365, 0, 0, 0, 0, 0, 43, 408
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutecrossconnections.go", "Go", 678, 0, 0, 0, 0, 0, 77, 755
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutegateways.go", "Go", 374, 0, 0, 0, 0, 0, 50, 424
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressroutelinks.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressrouteports.go", "Go", 520, 0, 0, 0, 0, 0, 61, 581
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressrouteportslocations.go", "Go", 196, 0, 0, 0, 0, 0, 26, 222
